,Timestamp_rome,Open,High,Low,Close,Volume,Trades,fast_period,slow_period,macd,signal,hist,atr,Trade_Direction,stop_loss,recent_high_fast,recent_low_fast,recent_high_med,recent_low_med,recent_high_slow,recent_low_slow,from_high_fast,from_low_fast,from_high_med,from_low_med,from_high_slow,from_low_slow,sar,Rsi_9,Rsi_14,volatility_15min,high_volatility_15min,volatility_1h,high_volatility,trend_strenght_4h,strong_trend,price_change_4h,range_bound,ema_50,ema_200,ema_50_slope,ema_200_slope,ratio_ema_50,ratio_ema_200,above_ema_50,above_ema_200,distance_from_ema_50,distance_from_ema_200
250,2022-12-10 09:35:00+01:00,17143.74,17150.53,17143.0,17149.43,457.46115,0.0,17147.745208000906,17151.042736633568,-3.2975286326618516,-3.6021238965728593,0.30459526391100766,8.820763961867748,1,17127.37809009533,17156.55,17140.0,17178.0,17139.26,17178.0,17116.4,-0.0004150018506051031,0.0005501750291715456,-0.0016631738269879909,0.0005933745097514066,-0.0016631738269879909,0.0019297282138766817,17175.049990080002,48.43084407521903,48.78027924460383,0.0003182803627513205,0,0.0003157089733192548,0,0.0003048734279781362,0,0.0027825997715376642,1,17149.851024136675,17152.20250935688,0.12438083386094917,-0.023528896212491955,0.9999754502744028,0.9998383584058451,0,0,2.4550328300971648e-05,0.00016166772638394504
260,2022-12-10 10:25:00+01:00,17125.77,17134.99,17115.04,17134.57,728.88507,1.0,17134.154081866247,17139.54627803014,-5.39219616389164,-5.404750110848992,0.012553946957352125,9.98828510112075,1,17109.599287247198,17146.0,17112.52,17165.0,17112.52,17178.0,17112.52,-0.0006666277849061176,0.0012885302690661148,-0.0017727934750946864,0.0012885302690661148,-0.0025282337874025086,0.0012885302690661148,17162.104572037795,40.51159279322745,41.48535952548605,0.0007254691197619261,1,0.00034046968563432713,0,0.0005751138999663397,0,0.003821514050250433,0,17146.266007847764,17150.982419600557,0.09090327841540058,-0.018788312089056815,0.9993178685177047,0.9990430624206226,0,0,0.0006825971032692459,0.0009578541860436398
312,2022-12-10 14:45:00+01:00,17148.33,17154.83,17147.41,17153.26,333.75321,1.0,17150.377522305735,17153.692955358918,-3.3154330531833693,-3.818670629468286,0.5032375762849166,10.70806361232558,1,17126.489840969185,17194.35,17141.55,17194.35,17140.23,17194.35,17112.52,-0.002389738489678304,0.0006831354224092411,-0.002389738489678304,0.0007601998339578195,-0.002389738489678304,0.0023807130685602096,17190.251038848,48.70898336244384,48.27995629047255,0.000255544835296259,0,0.0004329778905584153,0,0.0008034078026823988,0,0.0034494900677771024,0,17155.159367593045,17153.244944226535,0.2612748810109829,0.07423333802125892,0.9998892830108804,1.000000877721592,0,1,0.00011072924872863341,8.777208217706556e-07
339,2022-12-10 17:00:00+01:00,17207.69,17227.72,17199.66,17201.55,1369.57761,1.0,17206.13307865106,17195.220316858675,10.912761792384117,12.100073476686871,-1.1873116843027542,16.503274028499067,-1,17242.808185071248,17227.72,17172.99,17227.72,17146.32,17227.72,17112.52,-0.0015190634628379084,0.001663076726883185,-0.0015190634628379084,0.003221099337933712,-0.0015190634628379084,0.005202623576188593,17172.610330922467,62.092395741955066,62.482468832398254,0.0006399826558802391,1,0.0005640388593776248,1,0.0020125822799557103,1,0.005086169560301345,0,17171.001484772234,17158.431795663473,0.1880951888598457,0.07808967371502129,1.0017790759178988,1.0025129455214796,1,1,0.0017759164277501252,0.002506646455495354
421,2022-12-10 23:50:00+01:00,17133.78,17134.18,17128.19,17130.49,193.34535,0.0,17127.025802199103,17131.831404057335,-4.805601858231967,-5.40086285615201,0.5952609979200432,11.820356433929842,1,17100.939108915176,17152.95,17112.25,17177.16,17112.25,17227.72,17112.25,-0.0013093957599129668,0.0010659030811261874,-0.002716979989707161,0.0010659030811261874,-0.005643811253027073,0.0010659030811261874,17154.54117152,41.41263326120524,40.42780009247768,0.0006382735745349592,1,0.0005876952116731703,1,0.0032403943168288762,1,0.004613995279761458,0,17157.602915469888,17164.2294565759,-0.4635449172266105,-0.030497113349887073,0.9984197725286298,0.9980343156876773,0,0,0.0015827285424927424,0.001969555837334405
443,2022-12-11 01:40:00+01:00,17135.32,17139.42,17130.66,17135.28,371.27246,0.0,17135.639517883807,17127.907970252727,7.731547631079593,8.031674528854214,-0.3001268977746214,11.596147371581912,-1,17164.270368428955,17145.06,17123.08,17149.65,17092.0,17201.18,17092.0,-0.0005704267001691725,0.0007124886410620687,-0.000837917975002558,0.0025321787970979896,-0.0038311325153275212,0.0025321787970979896,17104.907301861378,52.72489011633292,50.312668326192934,0.00031552332596051624,0,0.0003929577775972116,0,0.0021877556724713143,1,0.004969863346265708,0,17142.207903383536,17157.705135335313,-0.8773850319172011,-0.25609809416282076,0.9995958569968009,0.9986929991418765,0,0,0.00040430640080216614,0.001308711344974452
460,2022-12-11 03:05:00+01:00,17158.71,17159.43,17153.0,17153.77,415.4528,0.0,17157.60474016405,17151.10416713036,6.500573033688852,6.862059884152213,-0.36148685046336126,10.285220957209193,-1,17179.483052393025,17170.6,17135.19,17170.6,17130.66,17194.76,17092.0,-0.0009801637683015218,0.0010843182946907357,-0.0009801637683015218,0.0013490431775541971,-0.0023838657823661374,0.003613971448630964,17138.51560192,56.16934605103543,56.08493494342921,0.00023646506680541807,0,0.00037096434523411413,0,0.0008898084548725205,0,0.004582083122252341,0,17145.705979920276,17156.25770160379,-0.5204192463239415,-0.24958338028952426,1.0004703230120222,0.9998549974215206,1,0,0.0004701019122749277,0.0001450236072764122
505,2022-12-11 06:50:00+01:00,17166.0,17167.83,17160.08,17163.54,527.77564,0.0,17170.116974782275,17169.187219570023,0.9297552122516208,1.9694910491101798,-1.039735836858559,9.935485013570906,-1,17188.37871253393,17190.33,17152.53,17190.33,17150.29,17190.33,17092.0,-0.0015584343057987178,0.0006418878148006177,-0.0015584343057987178,0.0007725816881230579,-0.0015584343057987178,0.0041855838989001215,17159.8372679584,47.44008011735663,50.08934824855324,0.00023790928972866563,0,0.0003874108056513621,0,9.148133926339952e-05,0,0.0029446139898879177,1,17159.379466984774,17157.601563795037,0.30279115905464055,0.024109939077865034,1.000242464071806,1.0003461110915115,1,1,0.00024240529723046494,0.00034599134007110954
511,2022-12-11 07:20:00+01:00,17180.66,17183.15,17176.32,17178.31,403.80827,0.0,17182.01078226796,17178.509757082233,3.5010251857274852,4.0987446455130705,-0.5977194597855853,10.674473936092744,-1,17204.996184840234,17200.0,17160.08,17200.0,17151.19,17200.0,17092.0,-0.0012610465116278309,0.0010623493596766194,-0.0012610465116278309,0.0015812313897754396,-0.0012610465116278309,0.00504973086824253,17170.32809376,55.438728662634894,56.077630093382226,0.00021669962361526166,0,0.00047235340553794785,1,0.0019001815612400552,0,0.0034910302585062884,0,17163.986720086614,17158.95780252995,0.342533291131165,0.0509420213378778,1.0008344960962143,1.0011278189324062,1,1,0.0008338002931247324,0.0011265483898039146
668,2022-12-11 20:25:00+01:00,17232.5,17245.36,17232.2,17232.7,483.52364,1.0,17236.85455015899,17219.6195759367,17.234974222290475,18.87644703098527,-1.6414728086947932,13.78177934168491,-1,17267.154448354213,17270.99,17177.16,17270.99,17163.74,17270.99,17127.96,-0.002217012458463636,0.003233363373223564,-0.002217012458463636,0.004017772350315207,-0.002217012458463636,0.0061151473964209165,17214.7205843712,73.87118448711489,73.63239475750176,0.00016964893511766378,0,0.000773778745915602,1,0.004734865600597882,1,0.007381315754350782,0,17182.040163571284,17166.21670671468,0.46396250902086605,0.10545648628042525,1.0029484179961425,1.0038729147150587,1,1,0.002939750383208465,0.0038579731142142867
